geo,country,year,education,fertility,population
cub,Cuba,1972,5.5,3.61,9123891.0
cyp,Cyprus,1972,4.9,2.99,661063.0
cze,Czech Republic,1972,9.1,2.09,9858068.0
deu,Germany,1972,6.6,1.73,78719918.0
dji,Djibouti,1972,0.3,6.85,166256.0
dnk,Denmark,1972,8.3,2.03,4991573.0
dom,Dominican Republic,1972,2.5,5.84,4651883.0
dza,Algeria,1972,0.6,7.63,14427072.0
ecu,Ecuador,1972,3.3,5.87,6529034.0
egy,Egypt,1972,1.1,5.93,36258328.0
eri,Eritrea,1972,0.2,6.54,1309235.0
esp,Spain,1972,2.5,2.87,34539867.0
est,Estonia,1972,6.8,2.15,1387212.0
eth,Ethiopia,1972,0.1,6.9,29374608.0
fin,Finland,1972,6.7,1.58,4639548.0
fji,Fiji,1972,4.0,4.32,550499.0
fra,France,1972,6.0,2.43,51743874.0
gab,Gabon,1972,1.3,5.24,620960.0
gbr,UK,1972,8.6,2.18,56079239.0
geo,Georgia,1972,7.7,2.67,4877277.0
gha,Ghana,1972,1.3,6.92,9438187.0
gin,Guinea,1972,0.1,6.28,4431292.0
gmb,Gambia,1972,0.3,6.37,555370.0
gnb,Guinea-Bissau,1972,0.1,6.08,586620.0
gnq,Equatorial Guinea,1972,1.0,5.81,309468.0
grc,Greece,1972,4.6,2.39,8849378.0
gtm,Guatemala,1972,1.1,6.51,5682833.0
guy,Guyana,1972,3.8,5.08,721617.0
hnd,Honduras,1972,1.9,7.06,2922064.0
hrv,Croatia,1972,3.6,2.01,4497891.0
hti,Haiti,1972,0.6,5.85,4813868.0
hun,Hungary,1972,7.2,1.93,10374303.0
idn,Indonesia,1972,1.3,5.32,122039841.0
ind,India,1972,0.7,5.48,570482142.0
irl,Ireland,1972,6.6,3.85,3037153.0
irn,Iran,1972,0.9,6.26,30921179.0
irq,Iraq,1972,1.3,7.02,10430164.0
isr,Israel,1972,7.2,3.8,3079401.0
ita,Italy,1972,5.2,2.35,54067563.0
jam,Jamaica,1972,4.9,5.06,1931542.0
jor,Jordan,1972,1.4,8.12,1714555.0
jpn,Japan,1972,8.5,2.11,109238955.0
kaz,Kazakhstan,1972,5.0,3.55,12951798.0
ken,Kenya,1972,0.9,7.89,12206060.0
kgz,Kyrgyz Republic,1972,5.2,5.14,3173944.0
khm,Cambodia,1972,0.7,5.94,6673886.0
kir,Kiribati,1972,2.9,5.37,59778.0
kor,South Korea,1972,5.1,4.02,33936465.0
kwt,Kuwait,1972,1.5,6.64,920352.0
lao,Lao,1972,0.5,6.28,2801660.0
lbn,Lebanon,1972,1.8,4.91,2509729.0
lbr,Liberia,1972,0.3,6.6,1542670.0
lca,St. Lucia,1972,4.8,5.81,106002.0
lka,Sri Lanka,1972,3.6,4.16,12809205.0
